#key	synopsis
Aircars (USA) (Beta) (1994-11-14)	AirCars findet in der Zukunft nach einem nuklearen Holocaust statt. Die große Organisation E.B.N.E.R.S. plant die Übernahme der Welt und hat fortschrittliche Kraftfeld- und Teleportationssysteme sowie AirCars mit Atomantrieb entwickelt. Um die Verschwörung zu stoppen, stiehlt Ihre Gruppe Pläne, baut ein eigenes AirCar und macht sich daran, alle Stützpunkte, 28 bekannte und unzählige unbekannte, die rund um den Globus stationiert sind, zu zerstören.
Alien vs Predator (World)	Die Jagdsaison ist eröffnet. Wähle deine Waffe und schlage dich mit den notorischen Kriegern des großen Films. Benutze die Marine der Kolonie, deine Waffen und dein Geschick, die Basis zu zerstören – und überlebe. Sei ein Alien und benutze deine unersättlichen Instinkte, den Bienenkorb zu verteidigen und deine Königin zu retten. Oder spiele den Predator und benutze dein grausiges Arsenal, um die endgültige Trophäe zu erlangen… den Kopf der Alien-Königin.
Atari Karts (World)	Geh' aus dem Weg! Ein Go-Kart für alle! In Atari Karts bist du zusammen mit den merkwürdigsten Kreaturen auf der Rennstrecke. Achte auf herumliegende Gegenstände. Einige sind ein Bonus, um dir weiterzuhelfen, die anderen können gemein sein. Sie bremsen deine Fahrt oder bringen deine Steuerung durcheinander. Versuche deine Gegner hinter dir zu lassen und als vierter oder besser durchs Ziel zu fahren, um in das nächste Rennen zu kommen. Kinder jeden Alters werden dieses Spiel lieben!
Attack of the Mutant Penguins (World)	Kämpfe mit und schicke ein paar Pinguine zur Hölle! In der entfernten Galaxie Bleurggh haben eine Gruppe von bösen (aber ausreichend dummen) Aliens ein paar Fernsehübertragungen von der Erde aufgefangen. Dummerweise konnten sie nur „Expeditionen ins Tierreich“ empfangen. Sie beschlossen, dass es ein Leichtes ist, die Erde zu erobern und tarnten sich als deren Bewohner – Pinguine! Die Kunde von der Invasion hat die intergalaktischen Helden Bernard und Rodney erreicht. Es ist deine Aufgabe, mit deren Hilfe die Pinguine bei der Zerstörung der Erde zu stoppen. Bist du bereit für die Herausforderung?
Barkley Shut Up and Jam (USA) (Beta)	Barkley Shut Up and Jam! ist ein Basketball-Videospiel mit einem Arcade-ähnlichen Gameplay, das dem NBA-Jam von Midway ähnelt, aber den Regeln des Streetballs genau folgt. Die Spieler treten entweder gegen CPU-gesteuerte Gegner oder gegen andere Spieler in Spielen in verschiedenen Städten der USA an.
Breakout 2000 (USA, Europe)	BREAKOUT 2000 ist eine 3-D-Version des Arcade-Klassikers. Dieser Reflextester wurde für einen oder zwei Spieler entwickelt und fordert jede Fähigkeitsstufe heraus. Das Ziel des Spiels ist immer noch das gleiche; Sammeln Sie so viele Punkte wie möglich, indem Sie Steine mit Kugeln zerbrechen. Hier endet die Ähnlichkeit. Es gilt insgesamt zehn verschiedene Phasen zu überleben, die jeweils aus fünf Spielfeldern bestehen. Jedes Spielfeld ist schwieriger zu räumen als das vorhergehende, und jede Phase fügt noch mehr Schwierigkeiten hinzu. Im Laufe des Spiels werden Sie auf Steine stoßen, die Sie mehr als einmal treffen müssen, um zu brechen, und selbst einige Steine können überhaupt nicht gebrochen werden. Enthält auch Classic Breakout für den nostalgischen Spieler.
Brutal Sports Football (World)	Ähnlich wie Speedball 2 ist Brutal Sports Football ein gewalttätiges Sportspiel. Die Spiele dauern 7 Minuten und das Ziel ist es, den Ball ins Tor zu bringen. Der ovale Ball kann geworfen oder getreten werden, was zu häufigen Tritten nach oben und unten führt. Gewalt ist das zentrale Element des Gameplays: Schlagen, Stampfen, Einsatz von Waffen und sogar Enthauptungen sind nicht das seltene Ereignis, sondern das, worum es in der Spielaktion geht, und der Schlüssel zum Sieg. Auf dem Spielfeld erscheinen Bonus- und Nicht-Bonus-Gegenstände wie Bomben, die auf Gegner geworfen werden können, Kaninchen, um den aktuellen Spieler zu beschleunigen, oder Schildkröten, die ihn verlangsamen.
Bubsy in Fractured Furry Tales (World)	Bubsy zu Hilfe! Nur Bubsy kann die Kinder der Welt vor dummen Geschichten und durcheinander geratenen Erzählungen bewahren, während er, das Fell voller Fun, durch 15 fabelhafte Kapitel hüpft und springt. Im Märchenland nimmt Bubsy an einer verrückten Tee-Party teil, klettert auf eine riesige Bohnenpflanze, reist unter Wasser (ohne nasse Pfoten zu bekommen), läuft in Ali Babas Wüste und trifft sogar Hänsel und Gretel. Wird Bubsy es schaffen, alle diese Märchen wieder in Ordnung zu bringen?
Cannon Fodder (World)	Führen Sie ein Team von bis zu vier Soldaten durch 72 Kampfebenen in diesem innovativen Top-Down-Action- / Strategie-Hybrid, der am besten als Lemmings gekreuzt mit Commando gekreuzt mit Dune 2 beschrieben wird. Jede Mission hat ein bestimmtes Ziel, und einige verfügen über Fahrzeuge wie Panzer, um die Sache zu vereinfachen. Ihre Truppen können Wasser überqueren, aber nicht darin schießen. Daher ist es oft entscheidend, Brücken zu finden und zu kontrollieren. Sie können die Anordnung der Bäume verwenden, um Verstecke zu finden, aus denen Sie schießen können, und sollten auch auf CPU-Soldaten achten, die dies tun.
Checkered Flag (World)	Dies ist keine Spazierfahrt zur Großmutter! Lassen Sie die Reifen quietschen! Fahren Sie zur Zielflagge, am Steuer eines turbo-angetriebenen Rennwagens in echter 3D-Aktion. Wählen Sie eine aus 10 fantastischen Rennstrecken und betrachten Sie die Rennstrecken aus 6 verschiedenen Perspektiven. Verändern Sie die Eigenschaften des Rennwagens oder verändern Sie sogar die Wetterbedingungen. Die Aktionen sind so mitreißend und realistisch, man hat das Gefühl, dass einem der Wind um die Ohren saust, während man mit quietschenden Reifen um die Kurve jagt. Halten Sie ihre feuchten Hände am Pad.
Club Drive (World)	Besitze den schnellsten Schlitten auf der Golden Gate Brücke … oder auf dem Küchenboden! Sicherlich hast du dir immer gewünscht in einem heißen Ofen mit frisiertem Motor durch die Straßen von San Francisco zu rasen, wie in einem Action Film. Aber wolltest Du jemals über den Küchenboden krabbeln und mit einem Freund fangen spielen in einem Miniatur- Rennwagen? Oder in einer futuristischen Geschwindigkeitsmaschine durch eine alte Westernstadt pflügen und wahllos Energiebälle aufnehmen? Schnall dich an und tritt dem 64-bit Club bei.
Cybermorph (World) (Rev B)	Cybermorph war das erste Spiel, was für Ataris Jaguar-Konsole veröffentlicht wurde. Es ist ein 3D-Sci-Fi-Shoot-'em-up. Die Geschichte des Spiels ist: Das böse Pernitia-Imperium verschlingt die Planeten der Galaxie links und rechts. Was noch schlimmer ist, die Geheimwaffen der Widerstandskräfte wurden ihnen gestohlen und in Kapseln gesteckt, die auf vielen verschiedenen Planeten verteilt sind. Sie müssen das Morphing-Angriffsschiff T-Griffon zu jedem Planeten steuern und die Kapseln bergen, um die Pernitianer aufzuhalten. Auf jedem Planeten oder Level müssen Sie also eine bestimmte Anzahl von Kapseln sammeln und es bis zum Ausgang schaffen, bevor die Feinde Sie abschießen. Glücklicherweise gibt es Power-Ups, die die Offensivfähigkeiten des T-Griffon strategisch verbessern können. Nachdem Sie 8 Planeten gesäubert haben, nehmen Sie es mit einer Boss-Kreatur/einem Boss-Schiff auf, bevor Sie zum nächsten Sektor fliegen. Es gibt 4 Level zu meistern, jedes Level mit zunehmendem Schwierigkeitsgrad.
Defender 2000 (World)	Wirst du denn nie lernen? Im klassischen Defender hast du die Aliens des Proximian Imperiums weinend nach Hause geschickt. Nun sind sie wieder da und wollen für sie lebensnotwendige Mineralien von unserem Mutterplaneten Erde. Deine glorreiche Aufgabe ist es, die hart arbeitenden Minenarbeiter vor den Außerirdischen zu schützen. Die Aliens werden versuchen, die Arbeiter gefangen zu nehmen und mittels derer Lebensenergie ihre Raumschiffe in superschnelle Mutanten umzuwandeln. Rette die Gefangenen und zerstöre die Außerirdischen oder das, was wir als Erde kennen, wird Geschichte sein Spiele Defender Classic, Defender Plus oder Defender 2000.
Doom (World)	Es gibt ein Blutbad in der Hölle! Von außerhalb der Basis hörst du den Angriff: Gewehrfeuer, Schreie von Männern, brechende Knochen… danach ist es still. Plötzlich bist du der letzte Überlebende der Marines, ausgesetzt einer blutrünstigen und teuflischen Unterwelt 50 Millionen Meilen in der Zukunft. Das ist Doom-hoch-64 mit True Color Grafik, weiterentwickelten Beleuchtungseffekten… und neuen, unentdeckten Teilen der Hölle, von denen du dir wünschen wirst, dass wir sie nicht in diese Version integriert hätten…
Double Dragon V - The Shadow Falls (World)	Double Dragon V: The Shadow Falls ist ein Teil der Double Dragon Serie. Anders als die Vorgänger, die seitlich scrollende Kampf- / Actionspiele oder Beat-Em-Ups waren, ist Shadow Falls ein Eins-gegen-Eins Kampfspiel, im Stil von Street Fighter II, basierend auf der Animationsserie Double Dragon
Dragon - The Bruce Lee Story (World)	Die Legende kämpft weiter… Kampfkunst-Meister Bruce Lee lebt weiter in DRAGON: Eine gefährlich lebensechte Kampfsimulation basierend auf dem biografischen Film. Wende Disziplin und die Vielfalt uralter Kampftechniken an, um Gegner zu unterwerfen, herausfordernder als die, denen der echte Bruce Lee jemals gegenüber stand. Benutze deine Geistesgegenwart und physische Stärke, um dem Phantom gegenüberzutreten, dem mythischen Samurai, der dich in deinen Gedanken und Träumen verfolgt hat, in einem 'jeet kune do' Duell bis zum Tode!
Evolution - Dino Dudes (World)	Das Gameplay von Evolution Dino Dudes hat Ähnlichkeiten mit Lode Runner und Lemmings. Ihre Aufgabe in diesem Action-Rätsel ist es, dem prähistorischen Menschen zu helfen, sich weiterzuentwickeln, indem Sie ihm helfen, Werkzeuge, das Rad, Waffen oder sogar Feuer zu entdecken. Jedes Level im Spiel hat eine bestimmte Aufgabe und Ihnen werden eine Reihe von Charakteren zugewiesen, die die Aufgabe erfüllen müssen. Der Spieler kann von Person zu Person wechseln, während er die Charaktere um jedes Scrolling-Puzzle bewegt. Teamwork ist für den Erfolg von entscheidender Bedeutung.
Fever Pitch Soccer (World) (En,Fr,De,Es,It)	Strategie ist alles! Übernimm eine der 50 weltbesten Fußballmannschaften und führe sie mit deiner Spielstrategie zum Sieg. Dribble entlang des Spielfelds bis zum Tor, und dann schieß! Aber nimm dich vor den Top Spielern in Acht, denn sie sind verdammt gut. Wende alle deine Tricks an, blockiere, stiehl den Ball, aber pass auf, dass du kein Foul verursachst. Check die Wiederholung und bereite deinen nächsten Angriff vor. Die Zeit läuft!
Fight for Life (USA, Europe)	Mach dich kampfbereit! Leben nach dem Ableben kann ein Alptraum sein – besonders wenn das Leben vorher katastrophal war. Im dunklen Reich kämpfen sich zur Belustigung der Torwächter Jahr für Jahr acht Leute durch das Höllen-Turnier. Der Preis: Eine zweite Chance zum Leben! Besiege alle Gegner und übernimm von jedem zwei seiner Spezial-Kampfbewegungen, um dich für die endgültige Herausforderung vorzubereiten: Den Kampf gegen den Sohn des Bösen persönlich. Sei gnadenlos. Es kann nur einen Sieger geben, nur ein neues Leben… es muss dir gehören!
Flashback - The Quest for Identity (World) (En,Fr)	Sie sind Conrad B. Hart, Galaxis Bureau of Investigation Agent, und im Moment sind Sie auf einem weit entfernten Planeten gestrandet, nachdem Sie eine außerirdische Verschwörung entdeckt haben, um die Erde zu übernehmen. Sie müssen reisen und Ihren Weg durch vier Planeten zurück zur Erde finden und die finsteren und tödlichen Pläne der Außerirdischen vereiteln. Das preisgekrönte Science-Fiction-Action-Abenteuer kommt zum Jaguar. Und es wird dich direkt aus deinem komfortablen kleinen Jahrhundert herausreißen und dich in eine Zeit und einen Ort schleudern, an dem du um ein Nickerchen betteln wirst!
Flip Out! (World)	Außerirdische Begegnung der flippigen Art! Glückwunsch Erdling! Die Bewohner des Planeten Phrohmaj haben dich eingeladen, an ihrem großen Fliesen-Flip-Festival teilzunehmen. Das Festival beeinflusst ihren Tagesablauf, ihre Essgewohnheiten und sogar ihre Freizeit. Löse das wahnwitzige Puzzle und achte dabei auf Außerirdische, die glauben, dich zu verwirren ist ein Teil des Spiels. Wenn sie nicht so niedlich wären, würdest du sie im Genick packen… falls sie eines haben.
Hover Strike (World)	Das ultimative Kriegsgerät ist da! Du fürchtest das Schlimmste für die vermissten Kolonisten. Terrakianische Piraten haben einen entfernten Planeten besetzt und patrouillieren mit tödlichen Maschinen jeden Winkel seiner Oberfläche. Die Föderation hat dich ausgewählt, um einen Vernichtungsschlag zu führen. Du steuerst ein hochmodern bewaffnetes Schwebefahrzeug, ausgestattet mit Schnellfeuerkanone und Hochenergie-Raketen. Anti-Gravitationseinheiten machen es möglich, über jedes Terrain zu gleiten. Kämpfe dich durch 30 vollständig in Texturemapping dargestellte 3D Missionen, einschließlich Nachteinsätzen. Vernichte Schlüsselstellungen und bereite den Weg für die Armada der Föderation. Rette die Kolonie, bevor es zu spät ist!
I-War (USA, Europe)	Großer Stau auf dem I-Way! Jedermanns schlimmste Befürchtungen sind wahr geworden. Der Supercomputer, der die Informationen der Welt verwaltet, ist voller mutierter Datenbanken und tödlicher Viren. Du musst auf den I-Way, die verstopften Kanäle aufräumen und das System wiederherstellen. Benutze ein Anti-Viren-Fahrzeug, um durch die hinterhältigen Angriffe, komplizierten Puzzles und hirnzermarternden Labyrinthe zu kommen. Viel Glück, denn du bist die einzige Hoffnung der Menschheit!
International Sensible Soccer (World)	Noch nie gab es eine so magische Fussballsimulation, nach der Sie ganz bestimmt süchtig werden - und außerdem gibt Ihnen dieses Spiel die Aufregung der Fußballweltmeisterschaft 1994! Mit den selben Spielregeln wie das äußerst erfolgreiche ursprüngliche Spiel und vollständigen und genauen Informationen über das Team und die Spieler (einschließlich erstem und zweiten Trikot) und allen relevanten Gruppen-Daten für den Wettkampf. SPielen Sie Ihr eigenes Szenario mit vollkommen flexiblen Teams oder geben Sie denjenigen eine zweite Chance, die zum wirklichen Spiel nicht zugelassen wurden.
Iron Soldier (World)	Alles hängt von dir ab! Iron Soldier, oder auch I.S., ist ein vierzehn Meter großer steuerbarer Roboter, der von einer Gruppe von Rebellen von der Iron Fist Corporation gestohlen wurde – und du sollst ihn steuern. Bewaffne dich mit einem gigantischen Sturmgewehr, Handgranaten in der Größe von Ölfässern oder anderen enormen Waffen. Benutze sie, um die gefährliche Nation der mechanischen Krieger der Iron Fist Corporation zu stoppen. Sechzehn Missionen – jede mit einer neuen Stadt und einer neuen Aufgabe. Erbeute neue Waffen. Zerstöre feindliche I.S. Einheiten im Einzelkampf. Zerstöre Hubschrauber und zertrete Panzer.
Jack Nicklaus Cyber Golf (USA) (v0.02) (Proto) (1994-07-04)	Jack Nicklaus Cyber Golf ist ein unveröffentlichstes Golf Spiel für den Jaguar. Das Spiel befindet sich in einer frühen Entwicklungsphase, das nicht mehr als einige Animationen, Stimmen und Bruchteile des Gameplays beinhaltet.
Kasumi Ninja (World)	Die Hölle ist dabei zusammenzubrechen Halten Sie Evil Ninja Lord Gyaku davon ab, des Dragon Cloud Tempels Tür zur Hölle zu öffnen, um seine dämonischen Handlanger auf die Kasumi Insel und die Erde loszulassen. Führen Sie diesen blutigen Kampf im 1 Spieler Story Modus oder 2 Spieler Versus Modus als einer der 8 besten Kämpfer aller Zeiten. Gewinnen Sie in Ihrer Reise durch das unterirdische Labyrinth bis zum Dragon Cloud Tempel von Kampf zu Kampf bessere kämpferische Fähigkeiten und meisterliche Spezialbewegungen. Am Ende werden Sie dem entscheidenden Gegner gegenüberstehen: Evil Ninja Gyaku höchstpersönlich!
