#key	synopsis
Ace of Aces (USA)	Vous survolez l'Europe à bord de votre avion. L'armement a été choisi en fonction de votre mission: munitions pour le fusil mitrailleur, roquettes ou grenades, il est important de ne pas surcharger l'avion. Ace of Aces propose dans son menu un grand choix de combats. Chacun d'eux correspond à une technique bien particulière : outre les combats aériens, vous devez également détruire un train de marchandises et stopper des convois maritimes. Ces deux dernières situations vous permettent d'utiliser la trappe de largage des bombes. Vous pouvez vous diriger à l'aide de la carte et de votre compas. Malheureusement, une fois descendu au-dessous du plafond nuageux, inutile d'espérer voir l'ennemi par le cockpit... Le train ou les navires ne sont visibles que par la trappe ventrale de l'appareil, et ce, seulement lorsque vous atteignez l'altitude correspondante.
Alien Brigade (USA)	Alien Brigade est un jeu de tir à défilement horizontal similaire à Operation Wolf. Des extraterrestres sont arrivés sur terre et ont soumis à un lavage de cerveau des soldats et des civils afin de prendre le contrôle du monde. Votre travail consiste à les arrêter! Sur chacun des cinq niveaux, vous aurez un objectif différent à atteindre, y compris sauver les civils et détruire les installations extraterrestres. Tout au long des niveaux, il y aura de nombreux aliens et des gens soumis au lavage de cerveau qu'il faudra tirer, ainsi que des chars d'assaut, des hélicoptères, et plus encore. Après avoir tiré sur des ennemis, un bonus peut parfois être ramassé; Si vous tirez dessus, vous pouvez gagner des munitions supplémentaires, des armes plus puissantes ou une meilleure santé. Si vous ne tirez pas assez vite et que vous êtes touché par un tir ennemi, votre santé diminuera lentement; le jeu se termine quand toute votre santé est partie.
Asteroids (USA)	Asteroids est un shoot 'em up multidirectionnel au concept simple. Le joueur contrôle un vaisseau spatial, représenté en vue de dessus et confronté à des champs d'astéroïdes et des soucoupes volantes. Le but est de survivre le plus longtemps possible en détruisant les astéroïdes et les soucoupes pour engranger les points.
Ballblazer (USA)	En l'an 3037, le sport le plus compétitif de l'univers connu est Ballblazer. Ballblazer est un jeu de football futuriste en 3D, dans lequel le joueur (à l'intérieur d'un Rotofoil) est installé sur un terrain de jeu individuel de 1155 carrés (la grille) présenté dans une perspective à la première personne. L'objectif du joueur est de lancer un ballon flottant (Plasmorb) à l'intérieur du but de l'adversaire (Goalbeams). Un joueur peut rivaliser avec un adversaire humain ou l'ordinateur. Le jeu permet de joueur contre l'ordinateur ou contre un autre humain.
Barnyard Blaster (USA)	Vous et votre grand-père avez simplement investi votre vie dans l'achat d'une petite ferme de quelques acres pour cultiver des légumes et élever des chevaux, un endroit pour échapper à la bataille de la vie urbaine. Mais vous découvrez que toute la ferme est pleine de choses qui sont déterminées à vous chasser. Barnyard Blaster est un jeu de tir de type galerie à utiliser avec le pistolet léger Atari XG-1 ou le joystick. Il y a trois niveaux plus un niveau bonus. Votre objectif est de débarrasser votre ferme de la vermine en tirant sur des cibles dans chacun des trois niveaux. Entre chaque niveau, vous jouerez sur l'écran bonus de Gramps où vous pourrez rafraîchir votre tir. Mais pour passer à travers chaque niveau, vous devez atteindre un certain pourcentage de précision de tir. À la fin de la partie, vous obtenez un classement en fonction de votre performance.
Basketbrawl (USA)	Dans une tentative désespérée d'arrêter les guerres de gang des centres-villes, les dirigeants de la ville ont organisé une ligue de basket-ball. La ligue est prévue de se jouer sur trois terrains: une rue, un junkyard, et un toit. Le maire a estimé qu'un jeu amical de cerceaux serait un moyen beaucoup plus pacifique de régler les différends. Il s'est trompé.Vous pouvez choisir les modes de jeu 1-contre-1 ou 2-contre-2. Il y a six caractères à choisir (dix en version Atari Lynx); chacun avec leurs propres attributs de santé, de vitesse et de puissance. Chaque joueur sans la balle peut sauter pour bloquer un tir ou frapper son adversaire pour obtenir le ballon. Il y a aussi une option pour effectuer un jet de puissance sur un joueur adverse. Les joueurs avec le ballon peuvent tirer ou passer. Les power-ups apparaissent sur le terrain de manière aléatoire. Ceux-ci alimentent un attribut pour le joueur. Par exemple, la puissance de la foudre augmente la vitesse du joueur. L'arbitre ne siffle pas les fautes, mais lance les couteaux aux joueurs.
Centipede (USA)	Jouer un exterminateur chargé de détruire les envahisseurs. À l'aide de votre arme, vous devez détruire les vagues de Centipèdes (mille-pattes) qui descendent vers vous du haut de l'écran. Des champignons sont éparpillés sur l'écran, et le Centipède descend d'une ligne chaque fois qu'il rencontre un champignon. Vous devez également éviter et détruire les araignées, les puces et les scorpions, et faites attention aux champignons empoisonnés qui pourraient faire descendre le Centipede en spirale à votre niveau. Détruisez le Centipède pour avancer à la prochaine vague...
Choplifter! (USA)	Choplifter est un jeu d'action / d'arcade à défilement latéral qui vous met au commandement d'un hélicoptère d'attaque. Votre mission: Allez derrière les lignes ennemies et sauvez jusqu'à 16 otages par niveau. Faites attention, cependant, parce que les chars et les avions ennemis vont essayer de vous arrêter - et ils n'arrêteront pas de tirer pendant que vous sauvez les otages! À l'origine sortis pour les ordinateurs Apple II, Choplifter a été porté plus tard en arcade et sur un certain nombre de consoles de jeu vidéo.
Commando (USA)	En tant que membre de première classe d'une unité de COMMANDO, vous avez reçu la mission ultime. Vous devez lutter seul contre des adversaires redoutables pour empêcher que le monde libre ne soit anéanti par l'avancée des forces rebelles. Pour compliquer les choses, une grande partie de l'artillerie lourde des Alliés a déjà été détruite. Vous devez mener votre croisade solitaire à travers un territoire hostile armé seulement d'un fusil, de grenades et d'un sacré courage! Les chances de succès semblent désespérément minces alors que les balles ennemies volent de toutes parts et que des forces rebelles dissimulées surgissent des grottes, des tranchées et des forteresses, pour vous empêcher de progresser. Mais les Alliés comptent sur votre ingéniosité, votre précision et votre vitesse pour vous aider à franchir les lignes ennemies. Vous devez atteindre la forteresse tout en récupérant les équipements des avant-postes vaincus en cours de route. Il ne peut y avoir de retraite - le sort du monde libre est entre vos mains
Crack'ed (USA)	En tant que ornithologue professionnel, vous êtes ravis de découvrir que certains calaos rares d'Amérique du Sud ont niché dans votre « vieil arbre jaune. » Mais alors que les calaos sont en train de se nourrir, un groupe de merles bleus malicieux, de hiboux et de serpents commencent à percer leurs nids et à voler des ?ufs. Vous sortez votre fronde et commencez à frapper les créatures en maraude. Mais vous devez être prudent. Si vous frappez un oiseau porteur d'?ufs, il laisse tomber l'?uf et vous devez agir rapidement pour l'attraper avant qu'il ne touche le sol et le ramener dans un nid. En même temps, vous devez surveiller les serpents qui peuvent se faufiler jusqu'aux nids et engloutir les ?ufs. Si vous pouvez protéger les oeufs assez longtemps, vous pouvez les emmener à un autre site de nidification.
