#key	synopsis
Ace of Aces (USA)	Ace of Aces versetzt Sie in das Cockpit der Mosquito, dem waghalsigen RAF-Jagdbomber des Zweiten Weltkriegs. Es ist eine atemberaubende Luftkampfsimulation, die das berauschende Gefühl des Fliegens mit dem nervenzerfetzenden Druck der feindlichen Konfrontation verbindet. Während des Zweiten Weltkriegs schossen Mosquitos 659 feindliche Flugzeuge und 500 V-Buzz-Bomben ab. Ihre einzigen Verbündeten sind Ihr Verstand, Ihre Waffen und Ihr Radar. Sind Sie der Herausforderung gewachsen? Schießen Sie die Nazi-Bomber ab, versenken Sie die U-Boote, entkommen Sie den V-Buzz-Bomben und halten Sie die feindlichen Züge an, um die Kriegsgefangenen zu befreien. Sollst du um einen Sturm herumfliegen oder um ihn herum? Navigieren Sie sorgfältig, ziehen Sie Ihre Geheimdienstberichte und Karten zu Rate, um eine Entscheidung zu treffen. Wähle deine Waffen und deinen Treibstoff mit Bedacht - wenn du einmal in einer Mission bist, gibt es kein Zurück mehr.
Alien Brigade (USA)	Alien Brigade ist ein Side Scrolling Shooter ähnlich wie Operation Wolf. Aliens sind auf der Erde angekommen und haben sowohl Soldaten als auch Zivilisten einer Gehirnwäsche unterzogen, um die Welt zu erobern. Ihre Aufgabe ist es, sie zu stoppen! Auf jeder der fünf Ebenen musst du ein anderes Ziel erreichen, einschließlich Zivilisten zu retten und Alien-Installationen zu zerstören. Überall auf den Levels wird es zahlreiche Aliens und Gehirnwäsche-Menschen geben, die du erschießen musst, sowie Panzer, Hubschrauber und mehr angreifen. Nach dem erschießen der Feinde lassen Sie manchmal ein Bonusteil fallen. Wenn du auf dieses schießt, kannst du zusätzliche Munition, stärkere Waffen oder mehr Gesundheit gewinnen. Wenn du nicht schnell genug schießt und von feindlichem Feuer getroffen wirst, wird deine Gesundheit langsam abnehmen. Das Spiel endet, wenn du deinen letzten Atemzug gemacht hast...
Asteroids (USA)	Asteroids ist eine Konvertierung des Arcade-Spiels mit gleichen Namen. Spielen Sie die Rolle eines Raumschiffpiloten, der in einer gigantischen Asteroidenwolke gefangen ist und ankommende Asteroiden mit der Photonenkanone des Schiffs pulverisiert. Wenn alle Asteroiden zerstört sind, können sie in die nächste Runde ziehen. Zusätzlich zum Asteroiden wird der Spieler auch auf eine Alien Robot-Untertasse treffen, die zufällig über den Bildschirm schießt.
Ballblazer (USA)	Im Jahr 3037 ist die wettbewerbsfähigste Sportart im bekannten Universum Ballblazer. Ballblazer ist ein futuristisches 3D-Fußballspiel, bei dem der Spieler (in einem Rotofoil) auf einem individuellen Spielfeld von 1155 Quadraten (dem Raster) sitzt, das in einer First-Person-Perspektive dargestellt wird. Das Ziel des Spielers ist es, einen schwebenden Ball (Plasmorb) in das Tor des Gegners (Goalbeams) zu werfen. Ein Spieler kann gegen einen menschlichen Gegner oder den Computer antreten. Das Spiel ermöglicht es, gegen den Computer oder gegen einen anderen Menschen zu spielen.
Barnyard Blaster (USA)	Sie und Ihr Opa haben nur Ihre Lebensersparnis in den Kauf einer kleinen Farm investiert, die ein paar Hektar groß ist, um Gemüse anzubauen und Pferde zu züchten. Aber Sie entdecken, dass die gesamte Farm voller Dinge ist, die Sie unbedingt vertreiben wollen. Barnyard Blaster ist ein Schießbuden-Spiel zur Verwendung mit der Atari XG-1 Light Gun oder dem Joystick. Es gibt drei Levels plus ein Bonuslevel. Ihr Ziel ist es, Ihre Farm von Ungeziefer zu befreien. Um durch jedes der 3 Level zu gelangen, müssen Sie einen bestimmten Prozentsatz der Schussgenauigkeit erreichen. Am Ende des Spiels erhalten Sie eine Rangliste, je nachdem, wie gut Sie es gemacht haben.
Basketbrawl (USA)	In einem verzweifelten Versuch, die Bandenkriege in der Innenstadt zu stoppen, organisierten die Stadtführer eine Basketballliga. Die Liga soll auf drei Plätzen gespielt werden: einer Straße, einem Schrottplatz und einem Dach. Der Bürgermeister war der Meinung, dass ein freundschaftliches Basketballspiel eine weitaus friedlichere Möglichkeit sei, Streitigkeiten beizulegen. Er hat sich geirrt. Sie können zwischen den Spielmodi 1 gegen 1 oder 2 gegen 2 wählen. Es stehen sechs Charaktere zur Auswahl (zehn in der Atari Lynx-Version); jedes mit seinen eigenen Gesundheits-, Geschwindigkeits- und Kraftattributen. Jeder Spieler ohne Ball kann springen, um einen Schuss abzuwehren, oder seinen Gegner schlagen, um an den Ball zu gelangen. Es besteht auch die Möglichkeit, einen Powerwurf gegen einen gegnerischen Spieler durchzuführen. Spieler mit Ball können schießen oder passen. Power-Ups erscheinen zufällig auf dem Spielfeld. Diese verstärken ein Attribut für den Spieler. Beispielsweise erhöht die Kraft des Blitzes die Geschwindigkeit des Spielers. Der Schiedsrichter pfeift die Fehler nicht, sondern wirft die Messer nach den Spielern.
Centipede (USA)	Dieses Spiel hat Bugs! Hunderte und Tausende von ihnen. Furchterregende. Krabbelnde. Summende. Schwärmende. Und sie alle versuchen, dich zu kriegen. Bevor Du sie kriegst. - Der Tausendfüßler greift in 12 charakteristischen Wellen an - Alle Insekten werden schneller und schneller - Für 1 oder 2 Spieler - 4 Schwierigkeitsgrade
Choplifter! (USA)	Choplifter ist ein seitlich scrollendes Action-/Arkade-Spiel, in dem Sie das Kommando über einen Kampfhubschrauber übernehmen. Ihre Mission: Gehen Sie hinter die feindlichen Linien und retten Sie bis zu 16 Geiseln pro Level. Aber seien Sie vorsichtig, denn Panzer und feindliche Flugzeuge werden versuchen, Sie aufzuhalten - und sie werden nicht aufhören zu schießen, während Sie die Geiseln retten! Ursprünglich für Apple II Heimcomputer veröffentlicht, wurde Choplifter später in die Spielhallen und auf eine Reihe von Videospielkonsolen portiert. Viele Nachahmer und Hommagen sollten folgen.
Commando (USA)	In dieser Arcade-Umsetzung warten mehrere Level auf Ihren superstarken Commando. Bewaffnet mit nur einem Standardgewehr und ein paar Granaten müssen Sie es mit Horden von Nazis aufnehmen. Manche wandern im Freien umher, andere haben sich Verstecke ausgesucht, denen man sich aus bestimmten Winkeln nähern muss. Bäume, Flüsse und Brücken bilden ein abwechslungsreiches, kampfähnliches Gelände und müssen in Ihr Denken einbezogen werden. Zusätzliche Granaten können gesammelt werden und werden auf jeden Fall benötigt, da Sie damit aus der Ferne töten und so einigen feindlichen Schüssen ausweichen können.
Crack'ed (USA)	Als professioneller Vogelbeobachter sind Sie begeistert, zu entdecken, dass einige seltene südamerikanische Nashornvögel in Ihrem „alten gelben Baum“ nisteten. Doch während die Nashornvögel fressen, beginnt eine Gruppe schelmischer Drosseln, Eulen und Schlangen, ihre Nester zu durchbrechen und Eier zu stehlen. Du zückst deine Schleuder und beginnst, auf die plündernden Kreaturen einzuschlagen. Aber Sie müssen vorsichtig sein. Wenn Sie einen eiertragenden Vogel treffen, lässt er das Ei fallen und Sie müssen schnell handeln, um es zu fangen, bevor es den Boden berührt, und es zurück in ein Nest zu bringen. Gleichzeitig müssen Sie auf Schlangen achten, die sich an die Nester heranschleichen und die Eier verschlingen können. Wenn Sie die Eier lange genug schützen können, können Sie sie zu einem anderen Nistplatz bringen.
