#key	synopsis
Ace of Aces (USA)	Es la Segunda Guerra Mundial y la Royal Air Force británica está hasta el cuello con los ataques del Eje. Como uno de los pilotos más agresivos de la RAF, estás volando en las misiones más cruciales para detener al enemigo. Atacan por tierra, aire y mar. Tus únicos aliados son los DeHavilland Mosquitos, tus armas y tu ingenio. Perseguir a los bombarderos nazis, hundir los submarinos antes de que se puedan sumergir, escapar de las bombas V-1 y evitar que los trenes entren en las líneas enemigas. Elige tu munición y aprovéchalas sabiamente: una vez que estás en una misión, no hay marcha atrás. Para ser un As, necesitas cuatro derrotas enemigas. Para ser As de ases, ¡tienes que ser el mejor!
Alien Brigade (USA)	La fuerza Plutoid Alien Zombie se ha infiltrado en el ejército. Parecen soldados, pero en realidad son extraterrestres del espacio exterior. Controla a una fuerza de operaciones especiales para destruir a los alienígenas. A medida que disparas a los enemigos desagradables, puedes ganar poderosas armas, rescatar rehenes y, sobre todo, mantenerte con vida. El desafío está ahí: vencer a los alienígenas o unirse a ellos.
Asteroids (USA)	¡Comienza a volar! Es tu única forma de salir de esta nube de cuerpos astrales. Visión periférica. Reflejos de rayos. Y un buen control. Eso es lo que se necesita para salvar tu nave ¡Y tu vida!, 8 ondas de asteroides devastadores, para 1 o 2 jugadores. Las naves del jugador competidor pueden aparecer en la pantalla simultáneamente.
Atari 7800 Development Card (USA)	Senso 7800 DX es una versión del juego Senso de Milton Bradley, vendido en los EE. UU. Como Simon. Senso es un juego de memoria en el que intentas memorizar secuencias de colores jugadas por la máquina y luego reproducirlas en el orden correcto usando el controlador. Puedes jugar contra la computadora o contra otra persona. Senso 7800 DX agrega muchas características adicionales al juego Senso básico, como música, modos de combate / equipo de dos jugadores, niveles, tiempo de juego y mucho más.
Ballblazer (USA)	Ballblazer es un simple juego de estilo deportivo con similitudes con el baloncesto y el fútbol. Cada lado está representado por una embarcación llamada &quot;rotofoil&quot;, que puede ser controlada por un jugador humano o un &quot;droide&quot; controlado por computadora con diez niveles de dificultad. (El juego permite enfrentamientos humanos vs. humanos, humanos contra droides y droides contra droides.) El objetivo básico del juego es ganar puntos al disparar o llevar una pelota flotante al objetivo del oponente. El juego tiene lugar en un campo de juego plano, de tablero de ajedrez, y la mitad de la pantalla de cada jugador se presenta en una perspectiva en primera persona.
Barnyard Blaster (USA)	Tú y el abuelo están abajo en la granja. Hay criaturas, botellas y varmints en todas partes, en el establo, en el patio y en el maizal. El abuelo te ha dado una pistola ligera Atari para ayudar a proteger la granja. Los objetivos móviles son un desafío. ¿Puedes golpearlos? Si no, ¡prueba las verduras! Son divertidos para disparar a. En el corral, las botellas y latas en la cerca proporcionan una gran práctica para calentar el viejo hierro de tiro. Pero el objetivo perfecto solo no es suficiente. También necesitarás velocidad. En el campo de maíz, las aves descienden del cielo y los conejos corren entre los tallos, los búhos y otras plagas aparecen dentro de un granero. Cada escena solo puede alcanzarse al golpear lo suficiente en la escena anterior. Una vez que te centras en algunos puntajes de disparos sofisticados, Gramps te ofrece una ronda de bonificación tirando botellas objetivo en el aire.
Basketbrawl (USA)	Vinne y Slash están sangrando por heridas de cuchillo y el árbitro está fuera de combate. No es de extrañar que los miembros de la pandilla apodaran a este juego &quot;Basketbrawl&quot;. Para ellos, no es un juego, es una pelea callejera. Esta premisa inicia el juego de deportes de acción de Atari para hasta dos jugadores. El objetivo en Basketbrawl es convertirse en la pandilla más mala del pueblo al ganar el torneo Basketbrawl. Para ganar, debes jugar tres juegos contra cada una de las cinco pandillas en tu ciudad. Cada vez que pasas a la siguiente pandilla, jugarás en un equipo con más jugadores y armas más peligrosas. Cada juego dura seis minutos: puntúa a tu oponente disparando más canastas. Cada canasta vale dos puntos. Si el juego está empatado después de seis minutos, el primer equipo en anotar gana.
Centipede (USA)	Juega un exterminador para destruir a los invasores. Usando tu arma, debes destruir las ondas de ciempiés (ciempiés) que bajan desde la parte superior de la pantalla. Los hongos se encuentran dispersos en la pantalla, y el Ciempiés desciende una línea cada vez que se encuentra con un hongo. También debes evitar y destruir las arañas, las pulgas y los escorpiones, y prestar atención a los hongos venenosos que podrían caer en espiral por el Ciempiés a tu nivel. Destruye el ciempiés para avanzar a la próxima ola ...
Choplifter! (USA)	En Choplifter, el jugador asume el rol de piloto de helicóptero. El jugador intenta salvar a rehenes retenidos en prisión por el malvado Bungeling Empire. El jugador debe recoger a los rehenes y transportarlos de manera segura a la base, mientras lucha contra los tanques hostiles y otros combatientes enemigos.
Commando (USA)	Varios niveles esperan a tu Comando en esta conversión de arcade. Armado con solo un rifle estándar y algunas granadas, debes enfrentarte a hordas de nazis. Algunos están deambulando a la intemperie, mientras que otros han elegido los escondites, a los que debes acercarte desde ciertos ángulos. Los árboles, los ríos y los puentes crean un variado terreno similar a un combate y deben incorporarse a su forma de pensar. Se pueden recoger granadas extra, y definitivamente serán necesarias, ya que te permiten matar la distancia de forma y así evitar algunos tiros enemigos.
