#key	synopsis
3-D Havoc (USA) (Proto)	Tu crucero estelar comienza a estremecerse cuando la unidad hiperwaz se corta repentinamente. Al disminuir la velocidad, te das cuenta de que has entrado en un campo de asteroides. Un gran campo de asteroides. Se atornilla para el inversor de pulsos láser de alta densidad. Tu única oportunidad es explotar tu salida. Y es mejor que empieces ahora ...
3-D Tic-Tac-Toe (USA)	3-D Tic-Tac-Toe es, como su nombre lo indica, una versión 3D de Tic-Tac-Toe. El objetivo del juego es colocar cuatro X o cuatro O en una fila horizontal, vertical o diagonal en el tablero 4x4. Hay nueve juegos de los cuales los primeros ocho son para un jugador humano contra la computadora. Los números 1-8 representan el nivel de habilidad. El juego 9 es un juego de dos jugadores. En la versión DOS sólo hay dos ajustes de dificultad y no hay juego de dos jugadores.
3-D Zapper (USA) (Proto) (1982-12-15)	Un prototipo inédito para Atari 2600 llamado &quot;Zapper 3-D&quot;.
32 in 1 Game Cartridge (Europe, Australia)	Este cartucho contiene los siguientes juegos: 1. UFO (a renaming of U. S. Game's Space Jockey) 2. Flag Capture 3. Human Cannonball 4. Reversi (a renaming of Atari's Othello) 5. Activision's Checkers 6. Slot Racers 7. Blackjack 8. Fishing (a graphic hack of Activision's Fishing Derby in which you are fishing for crabs) 9. Freeway Rabbit (a graphic hack of Activision's Freeway in which you are a rabbit) 10. Space War 11. Fun with Numbers 12. Golf 13. 3-D Tic-Tac-Toe 14. Surround 15. Miniature Golf 16. Activision's Boxing 17. Football 18. Air-Sea Battle 19. Freeway Chicken (a renaming of Activision's Freeway) 20. Activision's Tennis 21. Activision's Skiing 22. Activision's Fishing Derby 23. Sky Diver 24. Bowling 25. Combat 26. Activision's Stampede 27. Activision's Laser Blast 28. Outlaw 29. Slot Machine 30. Basketball 31. Home Run 32. Ant Party (a renaming of CommaVid's Cosmic Swarm)
Acid Drop (Europe)	Juego de bloques similar al Columns. El objetivo del juego es crear una línea horizontal o vertical de tres o más bloques del mismo color para que desaparezcan. Los bloques restantes caerán pero no desaparecerán a menos que formen otra línea. cada 10.000 puntos aparece un bloque especial (Acid Block) que borra las tres columnas de bloques y establece el inicio del siguiente nivel.
Activision Decathlon, The (USA)	Activision Decathlon es una serie de juegos olímpicos similares a la serie de juegos Epyx. Hasta cuatro jugadores pueden competir en los diez eventos diferentes de un decatlón de la vida real, ya sea en secuencia o individualmente. Se incluyen el tablero de 100 metros, salto de longitud, lanzamiento de peso, salto de altura, carrera de 400 metros, obstáculos de 110 metros, lanzamiento de disco, salto de pértiga, lanzamiento de jabalina y carrera de 1500 metros.
Adventure (USA)	Un mago malvado ha robado el cáliz encantado y lo ha escondido en algún lugar del Reino. El objetivo del juego es rescatar el Cáliz Encantado y colocarlo dentro del Castillo Dorado al que pertenece. Esta no es una tarea fácil, ya que el mago malvado ha creado tres dragones para obstaculizar tu búsqueda del cáliz dorado: Yorgie, Grundle y Rhindle. Hay tres castillos en el Reino; el Castillo Blanco, el Castillo Negro y el Castillo Dorado. Cada castillo tiene una puerta sobre la entrada. La puerta se puede abrir con la llave de color correspondiente. Dentro de cada castillo hay habitaciones (o mazmorras, según el nivel en el que estés jugando). Adventure fue el primer juego de acción y aventuras en una videoconsola, el primero en contener un Easter Egg ampliamente conocido y el primero en permitir al jugador tener un alijo de elementos, lo que requería que el jugador seleccionara cuál usar en cualquier momento.
Adventures of TRON (USA)	Este es el mismo juego que Adventures of TRON, pero se lanzó después de que expirara la licencia con Walt Disney, por lo que se cambió el nombre. También se eliminó la pantalla de título.
Adventures on GX-12 (Europe)	Este es el mismo juego que Adventures of TRON, pero se lanzó después de que expirara la licencia con Walt Disney, por lo que se cambió el nombre. También se eliminó la pantalla de título.
Air Raid (USA)	El objetivo de este juego es defender los edificios en la parte inferior de la pantalla. Hay cuatro tipos de naves atacantes que se mueven por la pantalla. Te estás moviendo justo por encima de los edificios. Los enemigos están lanzando bombas para tratar de dañar tus edificios o destruirte. Debes disparar misiles para destruirlos. Las oleadas de enemigos nunca terminan. El juego termina cuando las tres naves son destruidas o cuando ambos edificios han sufrido tanto daño que se derrumban. Hay ocho variaciones de juego. Algunos donde las naves se mueven de lado a lado mientras se mueven hacia abajo, algunos donde tus disparos se mueven hacia un lado cuando lo haces, algunos más rápido y otros con combinaciones de cualquiera o todos estos.
