#key	synopsis
A.P.B. (USA, Europe)	Sei l'agente di polizia Bob, il cui obiettivo è arrestare una determinata quota di criminali (chi getta rifiuti, chi guida troppo velocemente e simili) ogni giorno. Questo viene fatto inseguendoli e suonando il clacson - in alcuni casi sarà necessario spingerli fuori strada. Ci sono anche criminali incalliti da catturare: se riesci a far confessare uno di questi, il tuo lavoro per quel giorno è considerato completato. L'azione del gioco è presentata con una visuale aerea della tua macchina della polizia. Sono disponibili miglioramenti per l'auto, che possono essere acquistati con il denaro guadagnato. Guadagni dei demeriti se fai incidenti, arresti innocenti o non riesci a raggiungere la tua quota. Troppi demeriti e il gioco finisce.
Alien vs Predator (Europe) (Proto) (1993-12-17)	Scegli la tua arma e dai battaglia ai famosi guerrieri del cinema! Prendi il comando della Colonial Marine, e usa le tua armi e la tua furbizia per distruggere la base e sopravvivere. Impersona l'Alien ed utilizza i tuoi voraci istinti per difendere la tua colonia e salvare la Regina. O impersona il Predator ed utilizza il tuo famigerato arsenale per ottenere il trofeo definitivo... il cranio della Regina Aliena.
Awesome Golf (USA, Europe)	Awesome Golf è come suggerisce il nome, un simulatore di golf. Ci sono 3 campi per giocarne uno nel Regno Unito, uno negli Stati Uniti e il terzo in Giappone. Il gameplay prevede l'allineamento del tiro tramite una vista dall'alto che, una volta impostata, passa a una visuale in terza persona. Mentre in questa visualizzazione è necessario far oscillare la mazza e fermarla alla potenza desiderata, quindi fermarla sul simbolo corretto per ottenere il colpo perfetto. Se non lo fai bene, mancherai la palla o colpirai la terra. Ci sono 14 mazze a tua disposizione, 8 ferri, 3 legni 2 cunei e un putter che vengono selezionati spostando il cursore della mano sulla sacca da golf e selezionando la mazza desiderata.
Baseball Heroes (USA, Europe)	Colpisci la palla, tuffati, salta, acchiappa la palla e lanciala. Tenta un'eliminazione diretta e corri verso le recinzioni a massima velocità! Gioca a Baseball contro il computer o un amico. Quattro giochi diversi con grafica incredibile!
Basketbrawl (USA, Europe)	In un tentativo disperato di fermare le guerre delle bande cittadine, i leader della città hanno organizzato una gara di pallacanestro. La gara sarà giocata su tre campi: una strada, una discarica e un tetto. Il sindaco pensava che una partita amichevole di pallacanestro sarebbe stato un modo molto più pacifico per risolvere le dispute. Si sbagliava. Puoi scegliere le modalità di gioco 1 contro 1 o 2 contro 2. Ci sono sei personaggi tra cui scegliere (dieci nella versione Atari Lynx); ognuno con i propri attributi di salute, velocità e potenza. Ogni giocatore senza palla può saltare per bloccare un tiro o colpire il proprio avversario per prendere la palla. C'è anche un'opzione per eseguire un tiro potente su un giocatore avversario. I giocatori con la palla possono tirare o passare. Power-up appaiono casualmente sul campo. Questi potenziano un attributo per il giocatore. Ad esempio, il power-up fulmine aumenta la velocità del giocatore. L'arbitro non fischia i falli, ma lancia coltelli ai giocatori.
Batman Returns (USA, Europe)	Batman deve attraversare quattro livelli nella sua missione per fermare il Pinguino e Catwoman. I nemici che cercano di fermarlo includono clown circensi per le strade, poliziotti (che Catwoman ha messo sulle sue tracce) sui tetti di Gotham City, e commando pinguini nelle fogne e nel covo del Pinguino. Batman può sconfiggerli con i pugni o distruggerli usando Batarang e fiale di acido (che devono essere raccolte prima). Diversi dei livelli terminano in incontri con i due principali cattivi, mentre nell'ultimo livello, Batman deve anche salvare l'industriale Max Shreck dall'ira del Pinguino prima di eliminarlo.
Battle Wheels (USA, Europe)	Nell'anno 2019 la razza umana ha creato giochi sempre più pericolosi come forma d'intrattenimento. Combatti in veicoli altamente tecnologici con missili, mitragliatori, lanciafiamme, e molto altro tra città fantasma e terre desolate. Una battle royale a 16 giocatori! Combatti in squadra o da solo! Personalizza il tuo veicolo partendo da zero, o comprane una già accessoriata. Puoi perfino andare a piedi!
Battlezone 2000 (USA, Europe)	BattleZone 2000 è un gioco d'azione per Lynx. Nel 2005, un pericoloso virus ha infettato il Super-Tank, un computer ultra-avanzato. Questo virus fa sì che Super-Tank rivolga tutte le armi contro i propri creatori. L'umanità si avvia verso l'estinzione, e la tua missione è di liberare la Terra da questa minaccia informatica.
Bill & Ted's Excellent Adventure (USA, Europe)	Billy e Ted stanno per imbarcarsi nella loro più eccellente avventura attraverso il tempo e lo spazio. Le due fantastiche donzelle dell'Inghilterra medievale, Joanna ed Elizabeth, sono state sequestrate dall'orribile Parca. Insieme a Bill e Ted, imbarcati in un'avventura spazio-temporale per tentare di salvare le donzelle.
Block Out (USA, Europe)	&quot;Block Out&quot; è una variante del Tetris, ma in 3D. Il giocatore può ruotare i blocchi per farli meglio incastrare sullo schermo. Ci sono opzioni addizionali per giocatori esperti, come cambiare la profondità dello schermo di gioco, utilizzare blocchi speciali, e cambiare la velocità di caduta.
Blue Lightning (World)	Il malvagio Generale Drako sta diffondendo la sua personale miscela di malvagità e caos in tutto il mondo. Sei un pilota da caccia di punta per lo squadrone Blue Lightning delle Nazioni Unite. Devi viaggiare da continente a continente e fermare i piani di Drako in ogni luogo usando le tue incredibili abilità di volo. Blue Lightning è un gioco di volo in 3D con 7 jet da caccia reali. Ci sono diversi tipi di missioni, tra cui combattimenti aerei, obiettivi a terra ed scortare. Il tuo arsenale è composto da vari cannoni, missili e bombe speciali. Il gioco può essere giocato sia da una prospettiva dietro l'aereo, che da una prospettiva in cabina di pilotaggio.
Bubble Trouble (USA, Europe)	Tu sei Travis, uno scienziato che performa esperimenti su buchi neri artificiali per i viaggi interstellari. Mentre testi il tuo equipaggiamento, sei accidentalmente trasportato in un mondo di bolle. Fortunatamente, uno dei locali decide di aiutarti. Trova le corrette particelle radioattive per muoverti di mondo in mondo per tornare finalmente a casa - prima che gli altri locali decidano di rimuoverti di forza dal loro pianeta.
California Games (World)	CALIFORNIA GAMES è una prova di abilità per uno o più giocatori, fino a un massimo di otto. L'obiettivo è vincere i trofei in ogni evento, oltre al trofeo per la migliore prestazione complessiva. Ci sono diversi test: Half Pipe Skateboard, Foot Bag, Surf, BMX Bike Racing. È possibile allenarsi o gareggiare in un solo evento, gareggiare in tutti o addirittura organizzare una gara con gli eventi di propria scelta. Ogni giocatore sceglie uno sponsor per la competizione. Sarete giudicati per ogni evento e terranno traccia dei vostri totali. I trofei vengono assegnati ai migliori. Se si stabilisce un nuovo record in qualsiasi evento, il proprio nome sarà inciso e visualizzato nell'albo d'oro. Provate a diventare il campione della California!
Centipede (USA) (Proto)	Centinaia, migliaia di loro. Orribili. Striscianti. Rumorosi. Sciamanti. Tutti dandoti la caccia. Prima che sia tu a trovarli.
Checkered Flag (USA, Europe)	Checkered Flag è un gioco di corse su Lynx nel quale impersonate un pilota di Formula 1. Affronterete avversari su 18 circuiti diversi. Grazie all'uso del ComLynx, è possibile giocare in multiplayer fino a 6 giocatori.
Chip's Challenge (World)	Chip McCallahan è un nerd che vorrebbe essere accettato nel club informatico &quot;Bit Busters&quot;, presieduto da Melinda, un prodigio di intelligenza. Ma per entrare nel club, deve dimostrare la sua intelligenza superando una prova di iniziazione, risolvendo le prove che compongono i numerosi livelli del gioco (fino a 149 a seconda della versione). Chip dovrà raccogliere tutti i gettoni elettronici di ogni livello prima di poter rimuovere il &quot;socket&quot; che blocca l'uscita. Per farlo, dovrà calcolare l'ordine delle sue azioni, aprire porte prendendo la chiave giusta, spingere blocchi per bloccare passaggi o crearne altri, usare l'accessorio giusto per accedere a zone mortali o invalicabili (scudo blu per l'acqua, rosso per il fuoco, ramponi per camminare sul ghiaccio, calamita per resistere ai campi magnetici...). I primi livelli sono un tutorial e la difficoltà aumenta rapidamente.
Crystal Mines II (USA, Europe)	Grandi tesori aspettano ancora nelle profondità della Miniera di Cristallo abbandonata. Ma, nel corso degli anni, demoni provenienti dai sotterranei hanno reso la miniera mortale. Guida il tuo robot attraverso la miniera, eliminando i demoni ed accumulando un'enorme fortuna. Oppure fallisci, e finisci nel dimenticatoio.
Daemon's Gate (USA) (Proto 1)	Daemonsgate è un gioco di ruolo pubblicato da Electronic Innovative Design, ma cancellato prima della sua pubblicazione. Il gioco offre un'immensa mappa da esplorare, e dà la possibilità al giocatore di interagire con tavernieri, guardie, mercanti e cittadini.
