#key	synopsis
A.P.B. (USA, Europe)	In diesem echten Arcade-Spiel müssen Sie und Officer Bob die Täter ausfindig machen und festnehmen, die sich an so abscheulichen kriminellen Aktivitäten wie Umweltverschmutzung, Geschwindigkeitsüberschreitung und verschiedenen anderen Formen von Fehlverhalten beteiligt haben, die zu abscheulich sind, um sie zu erwähnen! Aber während Sie da draußen sind und in Officer Bobs Polizeiauto durch die Straßen patrouillieren, vergessen Sie nicht zu tanken! Schauen Sie in Ihrem freundlichen Donut-Laden in der Nachbarschaft vorbei und gewinnen Sie zusätzliche Zeit. Es gibt unschuldige Zuschauer und Fahrzeuge in APB. Wenn du einen triffst, bekommst du Minuspunkte.
Alien vs Predator (Europe) (Proto) (1993-12-17)	Wählen Sie Ihre Waffe und kämpfen Sie mit den berüchtigten Kriegern der großen Leinwand! Beauftragen Sie die Marines und verwenden Sie Ihre Waffen und Ihren Verstand, um die Basis zu zerstören - und zu überleben. Sei ein Alien und benutze deine unersättlichen Instinkte, um das Nest zu verteidigen und deine Königin zu retten. Oder spielen Sie einen Predator und nutzen Sie Ihr grausiges Arsenal, um die ultimative Trophäe zu erhalten ... den Schädel der Alien Queen.
Awesome Golf (USA, Europe)	Sie befinden sich am 18. Loch, einen Schlag hinter dem Titelverteidiger. Befolgen Sie den Rat Ihres Caddies und gehen Sie auf Nummer sicher oder riskieren Sie das Wasser? Awesome Golf bietet großen Realismus und eine Herausforderung für ein bis vier Spieler.
Baseball Heroes (USA, Europe)	Schlagen, rennen, springen, fangen und werfen. Spielen Sie Baseball gegen den Lynx oder treten Sie gegen einen Freund an. Vier verschiedene Spiele mit super Grafik!
Basketbrawl (USA, Europe)	Vinnie und Slash bluten aus Stichwunden und der Schiedsrichter liegt am Boden! Kein Wunder, dass die Bandenmitglieder dieses Spiel BasketBrawl (Korbkampf) genannt haben. Für sie ist dies kein Spiel – es ist ein Straßenkampf!
Batman Returns (USA, Europe)	Gotham City ist wieder in einer verzweifelten Lage. Catwoman und der Pinguin haben ihre Streitkräfte vereinigt, um die gesamte Hauptstadt in Schrecken zu versetzen. Nur du kannst Batman dabei helfen, ihren tödlichen Plan zu vereiteln und die Stadt vor ihrem teuflischen Zufriff bewahren.
Battle Wheels (USA, Europe)	Im Jahr 2019 wandte sich die Menschheit zu ihrer Unterhaltung immer gefährlicheren Spielen zu. Kämpfen Sie sich in Hightech-Autos, die mit Raketen, Maschinengewehren, Flammenwerfern und mehr bewaffnet sind, durch tote Städte und Wüstenlandschaften; ein Battle Royal mit sechzehn Arenen! Kämpfen Sie als Team oder treten Sie alleine an! Stellen Sie Ihr Auto von Grund auf individuell zusammen oder kaufen Sie eines im Shop. Sie können sogar zu Fuß hineingehen! Rasante 3-D-Action für sechs Spieler, wie Sie sie noch nie zuvor gesehen haben!
Battlezone 2000 (USA, Europe)	Wir schreiben das Jahr 2005. Ein tödlicher Virus hat die ultra-leistungsstarken Computersystem der Supertanks infiziert, der diese mächtigen Zerstörungswaffen gegen ihre Erbauer richtet. Die Menschheit steht vor der Auslöschung. Befreie das Schlachtfeld von dieser robotischen Plage!
Bill & Ted's Excellent Adventure (USA, Europe)	Bill und Ted stehen kurz davor, sich auf ihr bestes Abenteuer durch Zeit und Raum zu begeben. Diese beiden wunderschönen Babys aus dem mittelalterlichen England, Joanna und Elizabeth, wurden von dem abscheulichen Sensenmann entführt. Bill und Ted müssen den Kreislauf der Zeit nutzen, um die Prinzessinnen zu finden. Werden sie triumphieren? Nur du kannst helfen!
Block Out (USA, Europe)	Einfach zu spielen, schwer zu meistern, unmöglich aufzuhören! Willkommen in der Welt von Blockout! Eines der fesselndsten Puzzlespiele, die je entwickelt wurden. Lassen Sie so viele 3-D-Blöcke wie möglich in eine Lücke fallen, ohne die Spitze zu erreichen. Je besser du es machst, desto schneller fallen die Blöcke. Es erfordert Geschick, jeden Block in seine beste Position zu drehen, ohne ungefüllte Löcher zu hinterlassen. Das ist 3-D-Puzzle-Action vom Feinsten!
