#key	synopsis
3-D Genesis (USA) (Proto)	In ferner Zukunft wird der Planet von riesigen Superinsekten heimgesucht, die erbittert ums Überleben kämpfen. Sie haben sich für eine Seite entschieden, für die Sie kämpfen möchten, und der Feind wurde in eine tiefe Spalte getrieben, aber jetzt sind Sie zahlenmäßig unterlegen. Sie stellen ihre Zahlen auf die Probe. Man sagt, die Sanftmütigen werden die Erde erben, aber wie lange kann man sie verteidigen? Dies sollte ursprünglich eines von drei „3-D“-Spielen auf der Power-Play Arcade Nr. 1-Kassette sein. In einem Katalog für das Stromversorgungssystem des Amiga wurde ein Screenshot gezeigt, es war jedoch keine Beschreibung enthalten. Es wurde 1983 von Dan McElroy und Jerry Lawson programmiert, zurückgestellt und 2010 für eine limitierte Veröffentlichung freigegeben.
3-D Ghost Attack (USA) (Proto)	„Sie sagen, dass es in der Villa spukt, aber niemand weiß es so genau. Und Sie müssen es einfach herausfinden. Mit Ihrem Fotostrahl bewaffnet beginnen Sie mit der Suche. Plötzlich gibt es einen Lichtblitz. Dann noch einen. Und noch einen. Sie' Überall um dich herum kommen sie von Wänden, Türen, Fenstern, überall her. Du greifst nach deinem treuen Fotostrahl. Jetzt weiß es jemand genau ...“
3-D Havoc (USA) (Proto)	Ihr Sternenkreuzer beginnt zu zittern, als der Hyperwarp-Antrieb plötzlich abschaltet. Wenn Sie langsamer werden, stellen Sie fest, dass Sie sich in einem Asteroidenfeld befinden. Ein GROßES Asteroidenfeld. Sie machen sich auf den Weg zum Laser-Puls-Wechselrichter mit hoher Dichte. Ihre einzige Chance besteht darin, sich den Weg nach draußen zu bahnen. Und am besten fangen Sie jetzt an...
3-D Tic-Tac-Toe (USA)	Das Spiel ähnelt dem traditionellen Tic-Tac-Toe-Spiel, wird jedoch auf vier vertikal gestapelten 4x4-Rastern gespielt. Es ist im Grunde eine computerisierte Version des Brettspiels Qubic mit traditioneller Tic-Tac-Toe-Notation und Layout. Um zu gewinnen, muss ein Spieler vier seiner Symbole auf vier Feldern platzieren, die vertikal, horizontal oder diagonal auf einem einzigen Gitter oder gleichmäßig über alle vier Gitter verteilt sind. Dies schafft insgesamt 76 mögliche Gewinnwege, im Vergleich zu acht möglichen Gewinnwegen auf einem Standard-3×3-Brett. Das Spiel hat neun Variationen: Es kann von zwei Spielern gegeneinander gespielt werden, oder ein Spieler kann auf einer von acht verschiedenen Schwierigkeitsstufen gegen eine eingebaute KI spielen.
3-D Zapper (USA) (Proto) (1982-12-15)	3D Zapper ist eine fertige Version eines Prototyps, der während der anfänglichen Entwicklung noch nicht fertiggestellt wurde. Laut Programmierer Todd Marshall: „Es gab ein 3D-Weltraumspiel, an dem ich arbeitete (in Firmenmemos 3-D Zapper genannt). Bei JWDA gab es eine Debatte über 3D. Aus irgendeinem Grund dachte Jim Wickstead darüber nach, ein 3D-Spiel zu entwickeln. Ich weiß nicht mehr warum. Als ich aufhörte, dachte ich darüber nach, die 3D-Spielidee einzuführen, und der zweite dieser Karren hat eine 3D-Waffe und 3D-Feinde und eine Treffererkennung.
32 in 1 Game Cartridge (Europe, Australia)	Dies war eine Kasette im PAL-Format,die in Europa, Australien und Neuseeland veröffentlicht wurde. Sehr oft wurde die Spielesammlung der Konsole beigelegt. Nach jedem einschalten des Atari 2600 / 7800 wird ein anderes Spiel gestartet. Die Spiele sind wie folgt: UFO (a renaming of U. S. Game's Space Jockey), Flag Capture, Human Cannonball, Reversi (a renaming of Atari's Othello), Activision's Checkers, Slot Racers, Blackjack, Fishing (a graphic hack of Activision's Fishing Derby in which you are fishing for crabs), Freeway Rabbit (a graphic hack of Activision's Freeway in which you are a rabbit), Space War, Fun with Numbers, Golf, 3-D Tic-Tac-Toe, Surround, Miniature Golf, Activision's Boxing, Football, Air-Sea Battle, Freeway Chicken (a renaming of Activision's Freeway), Activision's Tennis, Activision's Skiing, Activision's Fishing Derby, Sky Diver, Bowling, Combat, Activision's Stampede, Activision's Laser Blast, Outlaw, Slot Machine, Basketball, Home Run, Ant Party (a renaming of CommaVid's Cosmic Swarm).
Acid Drop (Europe)	Ein Blockspiel ähnlich wie Columns. Das Ziel des Spiels ist es, eine horizontale oder vertikale Linie aus drei oder mehr Blöcken der gleichen Farbe zu bilden, die dann verschwindet. Die restlichen Blöcke fallen herunter, verschwinden aber nicht wenn sie eine andere Linie bilden. Alle 10.000 Punkte erscheint ein spezieller Block (der Acid Block), der drei Spalten von Blöcken entfernt und den Beginn der nächsten Stufe markiert.
Actionauts (USA) (Proto) (1984-06-22)	1984 begann Rob Fulop mit der Arbeit an seinem letzten Spiel für den Atari 2600, einem &quot;Roboterprogrammierspiel&quot; mit dem Titel &quot;Actionauts&quot;. Aufgrund der damaligen Marktbedingungen für Atari 2600-Cartridges wurde Actionauts nie fertiggestellt und wurde erst 2008 der Öffentlichkeit vorgestellt oder veröffentlicht. Das ursprüngliche, scheinbar einfache Puzzlespiel fordert einen einzelnen Spieler heraus, mit dem Programmeditor eine Abfolge von Befehlen zu konstruieren, um einen Roboter auf dem Bildschirm so zu steuern, dass er den &quot;Käse&quot; erreicht. Es ist nicht annähernd so einfach, wie es aussieht!
Activision Decathlon, The (USA)	Der Activision Decathlon ist eine Serie von olympischen Spielen, die der Epyx-Spieleserie ähnelt. Bis zu vier Spieler können in den zehn verschiedenen Disziplinen eines realen Zehnkampfs antreten, entweder nacheinander oder einzeln. Enthalten sind der 100-Meter-Lauf, Weitsprung, Kugelstoßen, Hochsprung, 400-Meter-Lauf, 110-Meter-Hürdenlauf, Diskuswurf, Stabhochsprung, Speerwurf und 1500-Meter-Lauf. Die flachen Laufwettbewerbe erfordern einfaches Joystick-Wackeln, das mit genau getimten Tastendrücken ausgeglichen werden muss, um die Hürden zu überwinden - ein Aufprall oder eine Unterbrechung des Schritts führt zu einem Verlust von Schwung und damit von Zeit. Bei den Sprung- und Wurfdisziplinen musst du durch Wackeln des Joysticks Schwung aufbauen und dann den Knopf drücken, um im richtigen Moment zu werfen oder zu springen. Für jede Disziplin gibt es Punkte, je nachdem, wie gut du abschneidest (dies kann auf deiner Laufzeit basieren oder darauf, wie weit du den Speer oder den Diskus wirfst, usw...), und der Spieler mit den meisten Punkten am Ende des Zehnkampfs gewinnt die Goldmedaille.
Adventure (USA)	Ein böser Zauberer hat den Verzauberten Kelch gestohlen und ihn irgendwo im Königreich versteckt. Das Ziel des Spiels ist es, den verzauberten Kelch zu retten und ihn in das Goldene Schloss zu bringen, wo er hingehört. Das ist keine leichte Aufgabe, denn der böse Magier hat drei Drachen erschaffen, die Sie bei Ihrer Suche nach dem Goldenen Kelch behindern sollen. Da ist Yorgie, der gelbe Drache, der einfach nur gemein ist; da ist Grundle, der grüne Drache, der gemein und wild ist; und da ist Rhindle, der rote Drache, der der wildeste von allen ist. Rhindle ist auch der schnellste Drache und am schwierigsten auszumanövrieren.
